name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Wesshagen William, Norrtulls SK,13,1,2,,3,3,3,1
Geijer Axel, KFUM Jönköping IA,12,3,4,1,,1,3,
Hagström Måns, Norrtulls SK,12,1,2,1,3,5,,
Johansson Hjalmar, Norrtulls SK,12,,4,3,1,3,1,
Nieves Burgos José, Söderhamns UIF,12,,,,,,5,7
Cavaille Sandro, Region Alpes Cote d'Azur,11,,,,,,,11
Champauzas Maxence, Region Alpes Cote d'Azur,11,,,,,,,11
Christiansson Jacob, Mölndals BTK,11,3,4,,,3,,1
Hetherton Rhys, Wales,11,,,,,,9,2
Khosravi Sam, Finland,11,,,,,,,11
Persson Oscar, IFK Österåkers BTK,11,,,3,1,3,3,1
Razafinarivo Antoine, Region Alpes Cote d'Azure,11,,,,,,,11
Savioli Titouan, Region Occitanie,11,,,,,,,11
Stephany Loris, Luxembourg,11,,,,,,,11
Ströberg Jesper Hålta IK,11,,4,1,3,3,,
Bøhler Thomassen Felix, Fokus BTK,10,3,,,5,,,2
FlyKristensen Lasse, BTK Viby,10,1,7,,,,1,1
Gustavsson Vidar, Spårvägens BTK,10,3,2,1,,,,4
Rudén John, Ängby SK,10,,7,3,,,,
Abramov Natanael, Rishon LeZion,9,,,9,,,,
David Hold Cristian, Silkeborg BTK,9,9,,,,,,
Ellbring Elias, LinnePartille PK,9,1,4,,3,1,,
Ibrahim Noah, Vestegnen BTK,9,1,4,,3,,1,
Kingham Issac, England,9,,7,,,,,2
Tran Nick, OB Bordtennis,9,,4,,,,5,
Dennison Joseph, England,8,,4,,3,,,1
Gjörling Rasmus, Ängby SK,8,,,1,,3,,4
Gustafsson Benjamin, Eslövs AI BTK,8,3,1,,,1,2,1
Gustafsson Melker, Dänningelanda BTK,8,,4,1,,1,1,1
Salawa Wiktor, TibbleKungsängen BTK,8,3,,3,,,,2
Svensson Viktor, Söderhamns UIF,8,,,5,,,3,
AhKing Lo, Hammarby IF BTF,7,,,,,3,3,1
Benchat Marius, Region Occitanie,7,,,,,,,7
Dittlau Eric, Söderhamns UIF,7,,4,1,,1,1,
Häger Gustav, Spårvägens BTK,7,1,,1,1,,,4
Lehtola Lassi, Finland,7,,,3,,,,4
Pageze Mateo,Region Occitanie,7,,,,,,,7
Pattison Ralph, England,7,,,,,,,7
Sandegren Oskar, Spårvägens BTK,7,3,4,,,,,
Sträm Jacob, Ängby SK,7,3,1,,,1,,2
Tibold Noé, Luxembourg,7,,,5,,,,2
Wantz Gene, Luxembourg,7,,,,,,,7
